id_student,code_module,code_presentation,assignment_id,task_type,assignment_weight,due_at_day_offset,submitted_at_day_offset,relative_due_position,grade_score,is_late,gender,age_band,disability,history_avg_delay,history_late_count,history_assessment_count,history_late_ratio,history_avg_score,history_score_variance
10000,19899,Unknown,626041.0,Homework,1.0,290.0,290.0,0.8656716417910447,1.0,0,M,0-35,N,1143.0917145987655,0.0,3.0,0.0,0.0,0.0
10000,19899,Unknown,632145.0,Homework,10.0,301.0,309.0,0.8985074626865671,0.0,1,M,0-35,N,857.3159647685186,0.0,4.0,0.0,0.25,0.5
10000,19899,Unknown,644442.0,Homework,1.0,308.0,308.0,0.9194029850746268,1.0,0,M,0-35,N,687.4031491296297,1.0,5.0,0.2,0.2,0.4472135954999579
10000,19899,Unknown,678832.0,Homework,30.0,329.0,,0.982089552238806,0.0,0,M,0-35,N,572.8288164043211,1.0,6.0,0.16666666666666666,0.3333333333333333,0.5163977794943223
10000,19899,Unknown,678863.0,Homework,30.0,329.0,329.0,0.982089552238806,0.0,0,M,0-35,N,725.614486005291,1.0,7.0,0.14285714285714285,0.2857142857142857,0.48795003647426666
10000,19899,Unknown,701724.0,Exam,20.0,332.0,332.0,0.991044776119403,0.0,0,M,0-35,N,634.8796775694445,1.0,8.0,0.125,0.25,0.46291004988627577
10000,20317,Unknown,511255.0,Homework,2.0,18.0,0.0,0.1836734693877551,0.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0
10000,20926,Unknown,708148.0,Exam,100.0,9.0,9.0,0.45,17.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0
10000,20926,Unknown,709926.0,Exam,100.0,18.0,18.0,0.9,5.0,0,M,0-35,N,-0.003738425925925926,0.0,1.0,0.0,17.0,0.0
10000,21750,Unknown,760534.0,Homework,1.0,42.0,42.0,0.3387096774193548,0.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0
10000,21750,Unknown,794958.0,Homework,1.0,56.0,55.0,0.45161290322580644,0.0,0,M,0-35,N,-0.3710648148148148,0.0,1.0,0.0,0.0,0.0
10000,21750,Unknown,813499.0,Homework,1.0,66.0,62.0,0.532258064516129,0.0,0,M,0-35,N,-0.6965104166666667,0.0,2.0,0.0,0.0,0.0
10000,21750,Unknown,824634.0,Homework,1.0,77.0,77.0,0.6209677419354839,0.0,0,M,0-35,N,-1.911905864197531,0.0,3.0,0.0,0.0,0.0
10000,21750,Unknown,844101.0,Homework,1.0,89.0,88.0,0.717741935483871,0.0,0,M,0-35,N,-1.6138020833333333,0.0,4.0,0.0,0.0,0.0
10000,21750,Unknown,856213.0,Homework,1.0,98.0,96.0,0.7903225806451613,0.0,0,M,0-35,N,-1.5738425925925923,0.0,5.0,0.0,0.0,0.0
10000,21750,Unknown,879714.0,Homework,1.0,110.0,108.0,0.8870967741935484,0.0,0,M,0-35,N,-1.7930825617283948,0.0,6.0,0.0,0.0,0.0
10000,21750,Unknown,891749.0,Homework,1.0,117.0,115.0,0.9435483870967742,0.0,0,M,0-35,N,-1.8404117063492063,0.0,7.0,0.0,0.0,0.0
10000,21750,Unknown,926596.0,Exam,700.0,124.0,124.0,1.0,135.0,0,M,0-35,N,-1.9217274305555554,0.0,8.0,0.0,0.0,0.0
10000,23182,Unknown,798556.0,Homework,1.0,25.0,25.0,0.2358490566037736,0.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0
10000,23182,Unknown,812532.0,Homework,1.0,32.0,32.0,0.3018867924528302,0.0,0,M,0-35,N,-0.43527777777777776,0.0,1.0,0.0,0.0,0.0
10000,23182,Unknown,797399.0,Homework,1.0,35.0,31.0,0.330188679245283,0.0,0,M,0-35,N,-0.3273263888888889,0.0,2.0,0.0,0.0,0.0
10000,23182,Unknown,826318.0,Homework,1.0,39.0,39.0,0.36792452830188677,0.0,0,M,0-35,N,-1.719236111111111,0.0,3.0,0.0,0.0,0.0
10000,23182,Unknown,838603.0,Homework,1.0,46.0,46.0,0.4339622641509434,0.0,0,M,0-35,N,-1.3991059027777777,0.0,4.0,0.0,0.0,0.0
10000,23182,Unknown,850468.0,Project,1.0,53.0,53.0,0.5,0.0,0,M,0-35,N,-1.2139606481481482,0.0,5.0,0.0,0.0,0.0
10000,23182,Unknown,857970.0,Homework,1.0,67.0,59.0,0.6320754716981132,0.0,0,M,0-35,N,-1.0879031635802467,0.0,6.0,0.0,0.0,0.0
10000,23182,Unknown,875173.0,Homework,1.0,74.0,74.0,0.6981132075471698,0.0,1,M,0-35,N,-2.0991038359788363,0.0,7.0,0.0,0.0,0.0
10000,23182,Unknown,891711.0,Project,1.0,80.0,80.0,0.7547169811320755,0.0,0,M,0-35,N,-1.8952459490740743,1.0,8.0,0.125,0.0,0.0
10000,23182,Unknown,899170.0,Project,1.0,83.0,81.0,0.7830188679245284,0.0,0,M,0-35,N,-1.695542695473251,1.0,9.0,0.1111111111111111,0.0,0.0
10000,23182,Unknown,891726.0,Project,1.0,86.0,84.0,0.8113207547169812,0.0,0,M,0-35,N,-1.7714768518518518,1.0,10.0,0.1,0.0,0.0
10000,23182,Unknown,891728.0,Project,1.0,86.0,83.0,0.8113207547169812,0.0,0,M,0-35,N,-1.801852904040404,1.0,11.0,0.09090909090909091,0.0,0.0
10000,23182,Unknown,899176.0,Homework,1.0,95.0,91.0,0.8962264150943396,0.0,0,M,0-35,N,-1.9069492669753088,1.0,12.0,0.08333333333333333,0.0,0.0
10000,23182,Unknown,925192.0,Homework,1.0,101.0,,0.9528301886792453,0.0,0,M,0-35,N,-2.0946198361823365,1.0,13.0,0.07692307692307693,0.0,0.0
10000,23182,Unknown,929245.0,Project,1.0,106.0,105.0,1.0,0.0,0,M,0-35,N,101.60524612433862,1.0,14.0,0.07142857142857142,0.0,0.0
10000,23598,Unknown,751299.0,Homework,1.0,20.0,17.0,0.18518518518518517,1.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0
10000,23598,Unknown,751300.0,Homework,1.0,20.0,20.0,0.18518518518518517,1.0,0,M,0-35,N,-3.1489699074074076,0.0,1.0,0.0,1.0,0.0
10000,23598,Unknown,765517.0,Homework,1.0,27.0,27.0,0.25,1.0,0,M,0-35,N,-1.7151562500000002,0.0,2.0,0.0,1.0,0.0
10000,23598,Unknown,780897.0,Homework,1.0,27.0,27.0,0.25,1.0,0,M,0-35,N,-1.2703472222222223,0.0,3.0,0.0,1.0,0.0
10000,23598,Unknown,719466.0,Homework,50.0,45.0,44.0,0.4166666666666667,46.0,0,M,0-35,N,-1.0501157407407409,0.0,4.0,0.0,1.0,0.0
10000,23598,Unknown,719453.0,Exam,13.0,52.0,52.0,0.48148148148148145,10.5,0,M,0-35,N,-0.9740648148148148,0.0,5.0,0.0,10.0,20.12461179749811
10000,23598,Unknown,719481.0,Homework,70.0,73.0,66.0,0.6759259259259259,60.0,0,M,0-35,N,-0.8119965277777778,0.0,6.0,0.0,10.083333333333334,18.001157370198914
10000,23598,Unknown,885605.0,Homework,1.0,90.0,90.0,0.8333333333333334,1.0,0,M,0-35,N,-1.705335648148148,0.0,7.0,0.0,17.214285714285715,25.019754100272355
10000,23598,Unknown,885604.0,Homework,1.0,97.0,97.0,0.8981481481481481,1.0,0,M,0-35,N,-1.5243055555555556,0.0,8.0,0.0,15.1875,23.862608976028945
10000,23598,Unknown,719492.0,Homework,90.0,108.0,106.0,1.0,84.0,0,M,0-35,N,-1.390363940329218,0.0,9.0,0.0,13.61111111111111,22.816904064993373
10000,24123,Unknown,792779.0,Homework,2.0,24.0,23.0,0.24242424242424243,0.0,0,M,0-35,N,0.0,0.0,0.0,0.0,0.0,0.0
10000,24123,Unknown,792889.0,Homework,1.0,24.0,24.0,0.24242424242424243,0.0,0,M,0-35,N,-0.6226967592592593,0.0,1.0,0.0,0.0,0.0
